jobid	jobname	prog	num_segs	num_frames	maxvmem	cpu	exit_status
1	vit61.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1974601	0	124.136866	0
2	vit60.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
3	vit59.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
4	vit58.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
5	vit57.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
6	vit56.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
7	vit55.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
8	vit54.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
9	vit53.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
10	vit52.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
11	vit51.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
12	vit50.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
13	vit49.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
14	vit48.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
15	vit47.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
16	vit46.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
17	vit45.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
18	vit44.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
19	vit43.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
20	vit42.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
21	vit41.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
22	vit40.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
23	vit39.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
24	vit38.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
25	vit37.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
26	vit36.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
27	vit35.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
28	vit34.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
29	vit33.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
30	vit32.annotatedir.4807067cc37511e9a9602dc02f957985	gmtkViterbi	3	1972850	0	124.136866	0
